,freqs,ampl_over_asd,phi_inj,phi_ppe_map,phi_npe_map,phi_ppe_post_gr,phi_ppe_post_mod,phi_ppe_post,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
632,75.38617962318897,3.026187685662795e+21,-14.855018238464265,-3.5963956835629456,-11.638956386103121,-10.660477288347886,-3.5894487133850324,-14.249926001732918,-10.169731792192161,-5.063721706421476,-15.233453498613638
633,75.62751924508567,3.0203691933060636e+21,-14.773789036628797,-3.5696737158658167,-11.564696054624488,-10.611102151918063,-3.5627783631207497,-14.173880515038812,-10.131327694703478,-5.027582416791183,-15.15891011149466
634,75.86963148622627,3.014540764935259e+21,-14.69303103592601,-3.5431502979447433,-11.490907749433015,-10.561998811471504,-3.536306179104265,-14.09830499057577,-10.093123352223293,-4.991700444072611,-15.084823796295904
635,76.11251882005656,3.0087022035154465e+21,-14.612741366574879,-3.5168239545336197,-11.417596287123466,-10.513165900015554,-3.510030688919167,-14.023196588934722,-10.055117769162745,-4.956074240494866,-15.011192009657611
636,76.35618372794097,3.0028471202302494e+21,-14.532917176992278,-3.4906932213278514,-11.344756851101078,-10.464602057815563,-3.4839504310893803,-13.948552488904944,-10.01730995517408,-4.920705740771567,-14.938015695945646
637,76.60062869918755,2.9969850835270537e+21,-14.4535556336738,-3.4647566449029457,-11.272382698133175,-10.41630593235597,-3.458063954997917,-13.874369887353886,-9.979698925122563,-4.8855860452200535,-14.865284970342616
638,76.84585623107363,2.9911084417690737e+21,-14.37465392107509,-3.4390127826336516,-11.20047479153871,-10.368276178302256,-3.432369820806172,-13.80064599910843,-9.942283699058967,-4.850717088553949,-14.793000787612915
639,77.09186882887126,2.985221120236574e+21,-14.296209241494138,-3.41346020261372,-11.12902638808501,-10.320511457462427,-3.4068665993738354,-13.727378056836262,-9.905063302191362,-4.816097323002353,-14.721160625193715
640,77.33866900587276,2.979326357012053e+21,-14.218218814954398,-3.3880974835762756,-11.058036524453124,-10.273010438749287,-3.3815528721794146,-13.654563310928701,-9.868036764858003,-4.781724426908922,-14.649761191766924
641,77.58625928341655,2.973414810563492e+21,-14.140679879088545,-3.362923214814736,-10.987502310686189,-10.22577179814243,-3.35642723124132,-13.58219902938375,-9.831203122499613,-4.747596465560032,-14.578799588059645
